date,actual_sales,predicted_sales,forecast_error
2017-06-19,791146.393731,728985.3,62161.08123100002
2017-06-20,787326.7170395,748197.4,39129.342039500014
2017-06-21,766159.0112892,773873.1,-7714.113710799953
2017-06-22,609868.8309586,693416.56,-83547.73154139996
2017-06-23,761049.7450639,758606.1,2443.6200639000162
2017-06-26,755367.8450665,798047.3,-42679.46743349999
2017-06-27,682218.468913,717260.7,-35042.21858700004
2017-06-28,731896.9850105,728604.2,3292.7975104999496
2017-06-29,630811.802872,682996.8,-52185.00962799997
2017-06-30,802273.1392327,740221.2,62051.95173269999
2017-07-03,925143.408816,924232.2,911.221315999981
2017-07-04,832359.2860137,789558.6,42800.66101369995
2017-07-05,844301.613116,782791.06,61510.550615999964
2017-07-06,700272.0099567,713975.4,-13703.365043299971
2017-07-07,805792.302193,749430.0,56362.30219299998
2017-07-10,804158.8610365,766573.0,37585.86103649996
2017-07-11,730534.767701,749806.25,-19271.482299000025
2017-07-12,748799.9959087,752213.2,-3413.191591299954
2017-07-13,629651.3629294999,678840.06,-49188.69957050006
2017-07-14,765489.6173932999,715726.6,49762.99239329994
2017-07-17,818325.522149,835685.8,-17360.290351000032
2017-07-18,730133.70894,732216.8,-2083.1035599999595
2017-07-19,767978.778078,757263.4,10715.403077999945
2017-07-20,688288.067857,672338.7,15949.380357000045
2017-07-21,782418.2992188,715359.94,67058.36171880004
2017-07-24,816564.327096,784993.9,31570.452095999965
2017-07-25,713581.632609,726465.06,-12883.429891000036
2017-07-26,740653.044167,724239.1,16413.919166999985
2017-07-27,659849.8270588,635124.6,24725.20205880003
2017-07-28,835099.6822035,690744.44,144355.24470349995
2017-07-31,885856.8408705,841434.1,44422.71587049996
2017-08-01,988527.763204,815541.9,172985.88820399996
2017-08-02,964712.016051,817093.0,147619.01605099998
2017-08-03,728068.485132,794474.75,-66406.26486800006
2017-08-04,827775.686128,766717.94,61057.74862800003
2017-08-07,797464.963817,754571.8,42893.15131700004
2017-08-08,717766.3491055,751314.4,-33548.025894499966
2017-08-09,734139.67401,742721.1,-8581.450990000041
2017-08-10,651386.9119697,704265.2,-52878.27553029999
2017-08-11,826373.722022,730686.4,95687.347022
2017-08-14,760922.4060808,714478.2,46444.21858079999
2017-08-15,762661.935939,729977.94,32683.998438999988
